created_at,tweet,sentiment
2019-05-23 13:49:15,b'BLOCK TRADE detected in #AAPL',0.0
2019-05-23 13:45:16,b'@CNBCi they are one and the same no? $AAPL #AAPL \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x8d\xbf https://t.co/11vnE6zYAj',0.0
2019-05-23 13:37:06,b'#aapl buy stop 179.75',0.0
2019-05-23 13:17:13,b'Apple Watch Series 4 With ECG App and irregular Heart Rhythm Notification Available @aapltrdng \n\n_\n#aapl #apple\xe2\x80\xa6 https://t.co/KfL6sBTeTN',0.4
2019-05-23 13:14:17,b'Apple Stock Downtrend - #AAPL chart https://t.co/NVw2fauxsb',0.0
2019-05-23 13:11:25,b'71% of College Students Prefer Macs Over PCs According to Jamf Survey https://t.co/bHOT3benee #AAPL',0.0
2019-05-23 13:07:55,"b""Goldman Sachs says a potential ban of #Apple's (#NASDAQ:#AAPL) products in China to retaliate against the U.S. acti\xe2\x80\xa6 https://t.co/Uk4pi9NYzz""",0.0
2019-05-23 12:50:36,b'China has more weapons in US tariff war - but do they work? $AAPL #AAPL #Automotivetechnology #Industrialtechnology\xe2\x80\xa6 https://t.co/WAFOYUZav9',0.5
2019-05-23 12:50:31,b'China has more weapons in US tariff war - but do they work? $AAPL #AAPL #Automotivetechnology #Industrialtechnology\xe2\x80\xa6 https://t.co/uhaWxqrhxN',0.5
2019-05-23 12:46:20,"b""#UBS cuts $AAPL #PT $235 to $225\nBoth the #TrillionRace euphoria &amp; #AAPL's bullishness since earnings have vanished\xe2\x80\xa6 https://t.co/momJ8waN7Q""",0.0
2019-05-23 12:39:15,"b'An ugly open ahead for the market, #DOW-238 on trade pessimism. #AAPL-1.7% on a UBS price target cut due to China w\xe2\x80\xa6 https://t.co/61ryuneoBt'",-0.27499999999999997
2019-05-23 12:17:50,b'@jimcramer Please help: UBS analyst cuts price target on #AAPL to $225/share (over $40 higher than yesterday\xe2\x80\x99s clos\xe2\x80\xa6 https://t.co/ViD04R7ZW5',0.25
2019-05-23 12:16:15,"b""Instagram Website Flaw Exposed Users' Phone Numbers and Email Addresses https://t.co/XA9ME2nn0G #AAPL""",0.0
2019-05-23 11:45:02,"b'UBS next to cut #Apple price target\n\nSlowing iPhone demand, trade war headwinds and possible ripple effects from a\xe2\x80\xa6 https://t.co/qI1dx9J5FO'",0.0
2019-05-23 11:30:15,"b""Here's how much an iPhone XS costs in 25 different countries https://t.co/gu35mcOFXD via @businessinsider #AAPL $AAPL""",0.1
2019-05-23 10:59:26,"b'Man Who Tricked Apple into Replacing 1,500 Fake iPhones Pleads Guilty to Trafficking Counterfeit Goods https://t.co/P7pTvzgdSu #AAPL'",-0.5
2019-05-23 09:39:58,b'Apple Registers Eleven New iPhone Models in Eurasian Database https://t.co/3On7JD5uAL #AAPL',0.13636363636363635
2019-05-23 09:09:18,b'#aapl $AAPL = bearish or too bearish? https://t.co/1qo1ettU8Y',0.0
2019-05-23 08:55:27,b'@Schuldensuehner Dumping #AAPL #GOOGL and other mega cap tech would be a close second...  Trump\xe2\x80\x99s Trade War is goin\xe2\x80\xa6 https://t.co/cJ2AkeyFHZ',-0.0625
2019-05-23 05:52:26,b'Watch out for @Apple #AAPL could it be a good buy on the dip?\nhttps://t.co/QPGm9evhUf',0.7
2019-05-23 05:26:01,b'China has more weapons in US tariff war _ but do they work? $AAPL #AAPL #Economy #Electricalequipmentmanufacturing\xe2\x80\xa6 https://t.co/hkR0EsByOf',0.5
2019-05-23 05:25:56,b'China has more weapons in US tariff war _ but do they work? $AAPL #AAPL #Economy #Electricalequipmentmanufacturing\xe2\x80\xa6 https://t.co/RjpvScLxiT',0.5
2019-05-23 03:08:06,"b'#shop has gone parabolic. So logical next move is Lower... Wrong!. Expect higher prices on #shopify, if mkt coopera\xe2\x80\xa6 https://t.co/iEprFWvN9l'",-0.03125
2019-05-23 02:54:57,b'#cgc and by extension #marijuana stocks looking good. Expect 49 if mkt cooperates .. Cautious long\n\n#trading\xe2\x80\xa6 https://t.co/T9xudTpwgA',0.32499999999999996
2019-05-23 01:02:12,"b'#cmg if  market cooperates, #chipotle will be decent long. My chart explains why.\n\n#trading #DayTrading #options\xe2\x80\xa6 https://t.co/TigXTIol7w'",0.05833333333333333
2019-05-23 00:54:52,b'IWM has risks both sides.. Stay away. Let Market sort it out. My chart explains why... \n\n#trading #DayTrading\xe2\x80\xa6 https://t.co/ne4C7REjJ6',0.0
